City,Latitude,Longitude,Population1,Population
Dharmavaram,14.4223472,77.7200689,12.1874,121874
Gokal Pur,32.3616465,75.1093651,12.187,121870
Kashipur,29.2117573,78.9617306,12.1623,121623
Ashokenagar Kalyangarh,22.8340503,88.6192182,12.1592,121592
Baidyabati,22.7949104,88.3317725,12.111,121110
Sawai Madhopur,26.5,76.75,12.1106,121106
Puruliya,23.1998959,86.3209473,12.1067,121067
Mandoli,20.3961534,77.0605571,12.0417,120417
Mainpuri,27.2098219,79.048137,12.04,120400
Kanchrapara,22.9496431,88.4378838,12.0345,120345
Satara,17.6361288,74.2982781,12.0195,120195
Churu,28.5,74.5,11.9856,119856
Madavaram,13.6968985,78.760684,11.9105,119105
Gangapur,26.4391539,76.694701,11.909,119090
Darjiling,26.75,88.25,11.8805,118805
Barshi,18.1829919,75.7439248,11.8722,118722
Etah,27.5541146,78.6007864,11.8517,118517
Jhunjhunun,28,75.5,11.8473,118473
Chikmagalur,13.318014,75.7738743,11.8401,118401
Jetpur Navagadh,21.7640594,70.6166597,11.8302,118302
Roorkee,29.8693496,77.8902124,11.82,118200
Gudivada,16.4329976,80.9937151,11.8167,118167
Baleshwar,21.4955907,86.9167623,11.8162,118162
Baran,24.9207746,76.6821837,11.7992,117992
Hoshangabad,22.6503147,77.7509281,11.7988,117988
Nagaon,26.3041492,92.7160597,11.7722,117722
Pudukkottai,10.5,78.833333,11.763,117630
Adilabad,19.5,78.5,11.7167,117167
Hosur,12.7328844,77.8309478,11.6821,116821
Muktsar,30.4692,74.5182,11.6747,116747
Yavatmal,20.3270469,78.118687,11.6551,116551
Titagarh,22.7419198,88.379201,11.6541,116541
Barnala,30.3704685,75.5040174,11.6449,116449
Chittaurgarh,24.5,74.5,11.6406,116406
Narasaraopet,16.2389242,80.0472879,11.625,116250
Dum Dum,22.6520597,88.4360417,11.4786,114786
Basti,26.724789,82.7932687,11.4657,114657
Valsad,20.4321957,73.1409893,11.4636,114636
Ambur,12.7929067,78.6999168,11.4608,114608
Giridih,24.1608897,86.251135,11.4533,114533
Chandausi,28.449104,78.7828513,11.4383,114383
Gonda,27.1096669,81.9183291,11.4046,114046
Kalol,22.6103179,73.4617061,11.3153,113153
Bagaha,27.0590111,84.2064638,11.2634,112634
Ambikapur,23.1226343,83.1981886,11.2449,112449
Achalpur,21.2407925,77.427797,11.2311,112311
